"id","disease","topic","question","answer"
"74","TBC (Tuberkulosis)","Gejala","Bagaimana tanda-tanda seseorang terkena TBC?","Gejala TBC meliputi batuk terus-menerus lebih dari 2 minggu (dapat berdahak atau berdarah), demam ringan terutama di sore hari, berkeringat di malam hari, berat badan turun drastis tanpa sebab jelas, kelelahan kronis, nyeri dada, dan sesak napas. Gejala ini seringkali berkembang perlahan selama beberapa minggu hingga bulan."
"75","TBC (Tuberkulosis)","Gejala","Ciri-ciri TB paru itu seperti apa ya?","Gejala TBC meliputi batuk terus-menerus lebih dari 2 minggu (dapat berdahak atau berdarah), demam ringan terutama di sore hari, berkeringat di malam hari, berat badan turun drastis tanpa sebab jelas, kelelahan kronis, nyeri dada, dan sesak napas. Gejala ini seringkali berkembang perlahan selama beberapa minggu hingga bulan."
"76","TBC (Tuberkulosis)","Gejala","Apa yang membedakan batuk TBC dengan batuk biasa?","Gejala TBC meliputi batuk terus-menerus lebih dari 2 minggu (dapat berdahak atau berdarah), demam ringan terutama di sore hari, berkeringat di malam hari, berat badan turun drastis tanpa sebab jelas, kelelahan kronis, nyeri dada, dan sesak napas. Gejala ini seringkali berkembang perlahan selama beberapa minggu hingga bulan."
"77","TBC (Tuberkulosis)","Pencegahan","Bagaimana cara mencegah penyakit TBC?","Pencegahan TBC meliputi vaksinasi BCG pada bayi baru lahir, memastikan ventilasi dan sirkulasi udara yang baik di dalam ruangan, menutup mulut dan hidung saat batuk atau bersin, tidak meludah sembarangan, meningkatkan daya tahan tubuh, serta menyelesaikan pengobatan TBC secara tuntas untuk mencegah penularan dan resistensi obat."
"78","TBC (Tuberkulosis)","Pencegahan","Apa yang bisa dilakukan agar tidak tertular TBC?","Pencegahan TBC meliputi vaksinasi BCG pada bayi baru lahir, memastikan ventilasi dan sirkulasi udara yang baik di dalam ruangan, menutup mulut dan hidung saat batuk atau bersin, tidak meludah sembarangan, meningkatkan daya tahan tubuh, serta menyelesaikan pengobatan TBC secara tuntas untuk mencegah penularan dan resistensi obat."
"79","TBC (Tuberkulosis)","Pencegahan","Cara menghindari penularan TB paru itu bagaimana?","Pencegahan TBC meliputi vaksinasi BCG pada bayi baru lahir, memastikan ventilasi dan sirkulasi udara yang baik di dalam ruangan, menutup mulut dan hidung saat batuk atau bersin, tidak meludah sembarangan, meningkatkan daya tahan tubuh, serta menyelesaikan pengobatan TBC secara tuntas untuk mencegah penularan dan resistensi obat."
"80","TBC (Tuberkulosis)","Pencegahan","Apakah vaksin BCG bisa mencegah TBC?","Pencegahan TBC meliputi vaksinasi BCG pada bayi baru lahir, memastikan ventilasi dan sirkulasi udara yang baik di dalam ruangan, menutup mulut dan hidung saat batuk atau bersin, tidak meludah sembarangan, meningkatkan daya tahan tubuh, serta menyelesaikan pengobatan TBC secara tuntas untuk mencegah penularan dan resistensi obat."
"81","TBC (Tuberkulosis)","Pengobatan","Bagaimana cara mengobati TBC?","Pengobatan TBC menggunakan kombinasi antibiotik selama minimal 6 bulan yang dikenal sebagai OAT (Obat Anti Tuberkulosis), terdiri dari Isoniazid, Rifampisin, Pirazinamid, dan Etambutol. Pengobatan tidak boleh dihentikan meskipun sudah merasa sembuh, karena dapat menyebabkan TBC resisten obat (MDR-TB) yang jauh lebih sulit diobati."
"82","TBC (Tuberkulosis)","Pengobatan","Berapa lama pengobatan TBC berlangsung?","Pengobatan TBC menggunakan kombinasi antibiotik selama minimal 6 bulan yang dikenal sebagai OAT (Obat Anti Tuberkulosis), terdiri dari Isoniazid, Rifampisin, Pirazinamid, dan Etambutol. Pengobatan tidak boleh dihentikan meskipun sudah merasa sembuh, karena dapat menyebabkan TBC resisten obat (MDR-TB) yang jauh lebih sulit diobati."
"83","TBC (Tuberkulosis)","Pengobatan","Obat apa yang dipakai untuk mengatasi tuberkulosis?","Pengobatan TBC menggunakan kombinasi antibiotik selama minimal 6 bulan yang dikenal sebagai OAT (Obat Anti Tuberkulosis), terdiri dari Isoniazid, Rifampisin, Pirazinamid, dan Etambutol. Pengobatan tidak boleh dihentikan meskipun sudah merasa sembuh, karena dapat menyebabkan TBC resisten obat (MDR-TB) yang jauh lebih sulit diobati."
"84","TBC (Tuberkulosis)","Pengobatan","Apa yang terjadi jika pengobatan TBC tidak tuntas?","Pengobatan TBC menggunakan kombinasi antibiotik selama minimal 6 bulan yang dikenal sebagai OAT (Obat Anti Tuberkulosis), terdiri dari Isoniazid, Rifampisin, Pirazinamid, dan Etambutol. Pengobatan tidak boleh dihentikan meskipun sudah merasa sembuh, karena dapat menyebabkan TBC resisten obat (MDR-TB) yang jauh lebih sulit diobati."
"85","GERD (Asam Lambung)","Gejala","Apa saja gejala penyakit GERD atau asam lambung naik?","Gejala GERD meliputi rasa terbakar di dada (heartburn) yang memburuk saat berbaring atau membungkuk, rasa asam atau pahit di mulut, regurgitasi (makanan atau cairan asam naik ke tenggorokan), kesulitan menelan, batuk kronis, suara serak, dan sering bersendawa. Gejala biasanya memburuk setelah makan, saat malam hari, atau saat berbaring."
"86","GERD (Asam Lambung)","Gejala","Bagaimana tanda-tanda seseorang terkena GERD?","Gejala GERD meliputi rasa terbakar di dada (heartburn) yang memburuk saat berbaring atau membungkuk, rasa asam atau pahit di mulut, regurgitasi (makanan atau cairan asam naik ke tenggorokan), kesulitan menelan, batuk kronis, suara serak, dan sering bersendawa. Gejala biasanya memburuk setelah makan, saat malam hari, atau saat berbaring."
"87","GERD (Asam Lambung)","Gejala","Ciri-ciri asam lambung naik itu seperti apa ya?","Gejala GERD meliputi rasa terbakar di dada (heartburn) yang memburuk saat berbaring atau membungkuk, rasa asam atau pahit di mulut, regurgitasi (makanan atau cairan asam naik ke tenggorokan), kesulitan menelan, batuk kronis, suara serak, dan sering bersendawa. Gejala biasanya memburuk setelah makan, saat malam hari, atau saat berbaring."
"88","GERD (Asam Lambung)","Gejala","Apa yang dirasakan saat asam lambung sedang kambuh?","Gejala GERD meliputi rasa terbakar di dada (heartburn) yang memburuk saat berbaring atau membungkuk, rasa asam atau pahit di mulut, regurgitasi (makanan atau cairan asam naik ke tenggorokan), kesulitan menelan, batuk kronis, suara serak, dan sering bersendawa. Gejala biasanya memburuk setelah makan, saat malam hari, atau saat berbaring."
"89","GERD (Asam Lambung)","Pencegahan","Bagaimana cara mencegah GERD atau asam lambung naik?","Pencegahan GERD meliputi makan dalam porsi kecil tetapi sering, menghindari makanan pemicu (makanan pedas, asam, berlemak, coklat, kopi, alkohol), tidak berbaring setelah makan minimal 2–3 jam, meninggikan posisi kepala saat tidur, menjaga berat badan ideal, berhenti merokok, dan mengelola stres dengan baik."
"90","GERD (Asam Lambung)","Pencegahan","Apa yang harus dihindari agar asam lambung tidak naik?","Pencegahan GERD meliputi makan dalam porsi kecil tetapi sering, menghindari makanan pemicu (makanan pedas, asam, berlemak, coklat, kopi, alkohol), tidak berbaring setelah makan minimal 2–3 jam, meninggikan posisi kepala saat tidur, menjaga berat badan ideal, berhenti merokok, dan mengelola stres dengan baik."
"91","GERD (Asam Lambung)","Pencegahan","Tips menjaga pola makan agar tidak kena GERD itu gimana?","Pencegahan GERD meliputi makan dalam porsi kecil tetapi sering, menghindari makanan pemicu (makanan pedas, asam, berlemak, coklat, kopi, alkohol), tidak berbaring setelah makan minimal 2–3 jam, meninggikan posisi kepala saat tidur, menjaga berat badan ideal, berhenti merokok, dan mengelola stres dengan baik."
"92","GERD (Asam Lambung)","Pencegahan","Cara menghindari kambuhnya asam lambung itu bagaimana?","Pencegahan GERD meliputi makan dalam porsi kecil tetapi sering, menghindari makanan pemicu (makanan pedas, asam, berlemak, coklat, kopi, alkohol), tidak berbaring setelah makan minimal 2–3 jam, meninggikan posisi kepala saat tidur, menjaga berat badan ideal, berhenti merokok, dan mengelola stres dengan baik."
"93","GERD (Asam Lambung)","Pengobatan","Bagaimana cara mengobati GERD atau asam lambung?","Pengobatan GERD mencakup perubahan gaya hidup dan obat-obatan seperti antasida untuk gejala ringan, H2 blocker (ranitidin, famotidin), atau Proton Pump Inhibitor (PPI) seperti omeprazol dan lansoprazol untuk kasus sedang hingga berat. Jika tidak respons dengan obat, dokter mungkin merekomendasikan prosedur seperti fundoplikasi laparoskopik."
"94","GERD (Asam Lambung)","Pengobatan","Obat apa yang dipakai untuk mengatasi GERD?","Pengobatan GERD mencakup perubahan gaya hidup dan obat-obatan seperti antasida untuk gejala ringan, H2 blocker (ranitidin, famotidin), atau Proton Pump Inhibitor (PPI) seperti omeprazol dan lansoprazol untuk kasus sedang hingga berat. Jika tidak respons dengan obat, dokter mungkin merekomendasikan prosedur seperti fundoplikasi laparoskopik."
"95","GERD (Asam Lambung)","Pengobatan","Penanganan GERD yang tepat itu seperti apa?","Pengobatan GERD mencakup perubahan gaya hidup dan obat-obatan seperti antasida untuk gejala ringan, H2 blocker (ranitidin, famotidin), atau Proton Pump Inhibitor (PPI) seperti omeprazol dan lansoprazol untuk kasus sedang hingga berat. Jika tidak respons dengan obat, dokter mungkin merekomendasikan prosedur seperti fundoplikasi laparoskopik."
"96","GERD (Asam Lambung)","Pengobatan","Kapan GERD perlu ditangani oleh dokter spesialis?","Pengobatan GERD mencakup perubahan gaya hidup dan obat-obatan seperti antasida untuk gejala ringan, H2 blocker (ranitidin, famotidin), atau Proton Pump Inhibitor (PPI) seperti omeprazol dan lansoprazol untuk kasus sedang hingga berat. Jika tidak respons dengan obat, dokter mungkin merekomendasikan prosedur seperti fundoplikasi laparoskopik."
"97","Tukak Lambung (Maag Kronis)","Gejala","Apa saja gejala tukak lambung atau maag kronis?","Gejala tukak lambung meliputi nyeri atau rasa terbakar di perut bagian atas (ulu hati) yang dapat memburuk saat perut kosong atau beberapa jam setelah makan, mual, muntah, perut kembung, nafsu makan berkurang, dan berat badan turun. Pada kasus berat bisa terjadi BAB berwarna hitam (tanda perdarahan) atau muntah darah."
"98","Tukak Lambung (Maag Kronis)","Gejala","Bagaimana tanda-tanda seseorang menderita maag kronis?","Gejala tukak lambung meliputi nyeri atau rasa terbakar di perut bagian atas (ulu hati) yang dapat memburuk saat perut kosong atau beberapa jam setelah makan, mual, muntah, perut kembung, nafsu makan berkurang, dan berat badan turun. Pada kasus berat bisa terjadi BAB berwarna hitam (tanda perdarahan) atau muntah darah."
"99","Tukak Lambung (Maag Kronis)","Gejala","Ciri-ciri tukak lambung itu seperti apa ya?","Gejala tukak lambung meliputi nyeri atau rasa terbakar di perut bagian atas (ulu hati) yang dapat memburuk saat perut kosong atau beberapa jam setelah makan, mual, muntah, perut kembung, nafsu makan berkurang, dan berat badan turun. Pada kasus berat bisa terjadi BAB berwarna hitam (tanda perdarahan) atau muntah darah."
"100","Tukak Lambung (Maag Kronis)","Gejala","Apa yang membedakan maag biasa dengan tukak lambung?","Gejala tukak lambung meliputi nyeri atau rasa terbakar di perut bagian atas (ulu hati) yang dapat memburuk saat perut kosong atau beberapa jam setelah makan, mual, muntah, perut kembung, nafsu makan berkurang, dan berat badan turun. Pada kasus berat bisa terjadi BAB berwarna hitam (tanda perdarahan) atau muntah darah."
"101","Tukak Lambung (Maag Kronis)","Pencegahan","Bagaimana cara mencegah tukak lambung atau maag kronis?","Pencegahan tukak lambung meliputi menghindari penggunaan OAINS (obat antiinflamasi nonsteroid) jangka panjang tanpa perlindungan lambung, tidak merokok, membatasi alkohol, makan teratur tidak telat, mengurangi stres, serta melakukan tes dan pengobatan infeksi Helicobacter pylori jika terdeteksi."
"102","Tukak Lambung (Maag Kronis)","Pencegahan","Apa yang bisa dilakukan agar lambung tidak terluka?","Pencegahan tukak lambung meliputi menghindari penggunaan OAINS (obat antiinflamasi nonsteroid) jangka panjang tanpa perlindungan lambung, tidak merokok, membatasi alkohol, makan teratur tidak telat, mengurangi stres, serta melakukan tes dan pengobatan infeksi Helicobacter pylori jika terdeteksi."
"103","Tukak Lambung (Maag Kronis)","Pencegahan","Tips menjaga kesehatan lambung agar tidak kena maag kronis?","Pencegahan tukak lambung meliputi menghindari penggunaan OAINS (obat antiinflamasi nonsteroid) jangka panjang tanpa perlindungan lambung, tidak merokok, membatasi alkohol, makan teratur tidak telat, mengurangi stres, serta melakukan tes dan pengobatan infeksi Helicobacter pylori jika terdeteksi."
"104","Tukak Lambung (Maag Kronis)","Pencegahan","Cara menghindari tukak lambung itu gimana?","Pencegahan tukak lambung meliputi menghindari penggunaan OAINS (obat antiinflamasi nonsteroid) jangka panjang tanpa perlindungan lambung, tidak merokok, membatasi alkohol, makan teratur tidak telat, mengurangi stres, serta melakukan tes dan pengobatan infeksi Helicobacter pylori jika terdeteksi."
"105","Tukak Lambung (Maag Kronis)","Pengobatan","Bagaimana cara mengobati tukak lambung?","Pengobatan tukak lambung tergantung penyebabnya. Jika disebabkan H. pylori, diberikan terapi eradikasi berupa kombinasi antibiotik dan PPI selama 10–14 hari. Jika disebabkan OAINS, obat dihentikan dan diberikan PPI atau misoprostol. Perubahan pola makan dan manajemen stres juga penting untuk pemulihan dan pencegahan kekambuhan."
"106","Tukak Lambung (Maag Kronis)","Pengobatan","Obat apa yang dipakai untuk mengatasi maag kronis?","Pengobatan tukak lambung tergantung penyebabnya. Jika disebabkan H. pylori, diberikan terapi eradikasi berupa kombinasi antibiotik dan PPI selama 10–14 hari. Jika disebabkan OAINS, obat dihentikan dan diberikan PPI atau misoprostol. Perubahan pola makan dan manajemen stres juga penting untuk pemulihan dan pencegahan kekambuhan."
"107","Tukak Lambung (Maag Kronis)","Pengobatan","Penanganan tukak lambung yang tepat itu seperti apa?","Pengobatan tukak lambung tergantung penyebabnya. Jika disebabkan H. pylori, diberikan terapi eradikasi berupa kombinasi antibiotik dan PPI selama 10–14 hari. Jika disebabkan OAINS, obat dihentikan dan diberikan PPI atau misoprostol. Perubahan pola makan dan manajemen stres juga penting untuk pemulihan dan pencegahan kekambuhan."
"108","Tukak Lambung (Maag Kronis)","Pengobatan","Apakah tukak lambung bisa sembuh total?","Pengobatan tukak lambung tergantung penyebabnya. Jika disebabkan H. pylori, diberikan terapi eradikasi berupa kombinasi antibiotik dan PPI selama 10–14 hari. Jika disebabkan OAINS, obat dihentikan dan diberikan PPI atau misoprostol. Perubahan pola makan dan manajemen stres juga penting untuk pemulihan dan pencegahan kekambuhan."
"109","Alergi","Gejala","Apa saja gejala umum dari reaksi alergi?","Gejala alergi bervariasi tergantung jenis alergen dan jalur paparan: alergi kulit menimbulkan ruam, gatal, dan bengkak; alergi pernapasan menyebabkan bersin, hidung meler, hidung tersumbat, dan mata berair; alergi makanan dapat memicu mual, muntah, dan diare. Reaksi berat (anafilaksis) ditandai dengan sesak napas mendadak, tekanan darah turun, dan dapat mengancam jiwa."
"110","Alergi","Gejala","Bagaimana tanda-tanda seseorang mengalami alergi?","Gejala alergi bervariasi tergantung jenis alergen dan jalur paparan: alergi kulit menimbulkan ruam, gatal, dan bengkak; alergi pernapasan menyebabkan bersin, hidung meler, hidung tersumbat, dan mata berair; alergi makanan dapat memicu mual, muntah, dan diare. Reaksi berat (anafilaksis) ditandai dengan sesak napas mendadak, tekanan darah turun, dan dapat mengancam jiwa."
"111","Alergi","Gejala","Ciri-ciri alergi itu seperti apa ya?","Gejala alergi bervariasi tergantung jenis alergen dan jalur paparan: alergi kulit menimbulkan ruam, gatal, dan bengkak; alergi pernapasan menyebabkan bersin, hidung meler, hidung tersumbat, dan mata berair; alergi makanan dapat memicu mual, muntah, dan diare. Reaksi berat (anafilaksis) ditandai dengan sesak napas mendadak, tekanan darah turun, dan dapat mengancam jiwa."
"112","Alergi","Gejala","Apa yang dirasakan tubuh saat terkena alergi?","Gejala alergi bervariasi tergantung jenis alergen dan jalur paparan: alergi kulit menimbulkan ruam, gatal, dan bengkak; alergi pernapasan menyebabkan bersin, hidung meler, hidung tersumbat, dan mata berair; alergi makanan dapat memicu mual, muntah, dan diare. Reaksi berat (anafilaksis) ditandai dengan sesak napas mendadak, tekanan darah turun, dan dapat mengancam jiwa."
"113","Alergi","Pencegahan","Bagaimana cara mencegah reaksi alergi?","Pencegahan alergi dilakukan dengan mengidentifikasi dan menghindari alergen pemicu, menggunakan masker di lingkungan berdebu atau berserbuk sari, mencuci tangan setelah menyentuh hewan peliharaan, membersihkan rumah secara rutin untuk mengurangi tungau debu, membaca label kemasan makanan dengan teliti, dan selalu membawa epinefrin auto-injector (EpiPen) bagi yang rawan anafilaksis."
"114","Alergi","Pencegahan","Apa yang harus dilakukan agar tidak kambuh alergi?","Pencegahan alergi dilakukan dengan mengidentifikasi dan menghindari alergen pemicu, menggunakan masker di lingkungan berdebu atau berserbuk sari, mencuci tangan setelah menyentuh hewan peliharaan, membersihkan rumah secara rutin untuk mengurangi tungau debu, membaca label kemasan makanan dengan teliti, dan selalu membawa epinefrin auto-injector (EpiPen) bagi yang rawan anafilaksis."
"115","Alergi","Pencegahan","Tips menghindari pemicu alergi itu gimana?","Pencegahan alergi dilakukan dengan mengidentifikasi dan menghindari alergen pemicu, menggunakan masker di lingkungan berdebu atau berserbuk sari, mencuci tangan setelah menyentuh hewan peliharaan, membersihkan rumah secara rutin untuk mengurangi tungau debu, membaca label kemasan makanan dengan teliti, dan selalu membawa epinefrin auto-injector (EpiPen) bagi yang rawan anafilaksis."
"116","Alergi","Pencegahan","Cara melindungi diri dari alergi lingkungan itu bagaimana?","Pencegahan alergi dilakukan dengan mengidentifikasi dan menghindari alergen pemicu, menggunakan masker di lingkungan berdebu atau berserbuk sari, mencuci tangan setelah menyentuh hewan peliharaan, membersihkan rumah secara rutin untuk mengurangi tungau debu, membaca label kemasan makanan dengan teliti, dan selalu membawa epinefrin auto-injector (EpiPen) bagi yang rawan anafilaksis."
"117","Alergi","Pengobatan","Bagaimana cara mengobati reaksi alergi?","Pengobatan alergi meliputi antihistamin (seperti cetirizin, loratadin) untuk gejala ringan–sedang, kortikosteroid topikal untuk alergi kulit, dekongestan untuk alergi hidung, dan bronkodilator untuk gejala asma. Untuk anafilaksis, injeksi epinefrin adalah penanganan utama yang harus segera diberikan. Imunoterapi alergen dapat dipertimbangkan untuk kasus kronis."
"118","Alergi","Pengobatan","Obat apa yang dipakai untuk mengatasi alergi?","Pengobatan alergi meliputi antihistamin (seperti cetirizin, loratadin) untuk gejala ringan–sedang, kortikosteroid topikal untuk alergi kulit, dekongestan untuk alergi hidung, dan bronkodilator untuk gejala asma. Untuk anafilaksis, injeksi epinefrin adalah penanganan utama yang harus segera diberikan. Imunoterapi alergen dapat dipertimbangkan untuk kasus kronis."
"119","Alergi","Pengobatan","Penanganan alergi yang tepat itu seperti apa?","Pengobatan alergi meliputi antihistamin (seperti cetirizin, loratadin) untuk gejala ringan–sedang, kortikosteroid topikal untuk alergi kulit, dekongestan untuk alergi hidung, dan bronkodilator untuk gejala asma. Untuk anafilaksis, injeksi epinefrin adalah penanganan utama yang harus segera diberikan. Imunoterapi alergen dapat dipertimbangkan untuk kasus kronis."
"120","Alergi","Pengobatan","Kapan reaksi alergi perlu segera ke dokter atau IGD?","Pengobatan alergi meliputi antihistamin (seperti cetirizin, loratadin) untuk gejala ringan–sedang, kortikosteroid topikal untuk alergi kulit, dekongestan untuk alergi hidung, dan bronkodilator untuk gejala asma. Untuk anafilaksis, injeksi epinefrin adalah penanganan utama yang harus segera diberikan. Imunoterapi alergen dapat dipertimbangkan untuk kasus kronis."
"121","Batuk Pilek (Common Cold)","Gejala","Apa saja gejala batuk pilek atau common cold?","Gejala batuk pilek (common cold) meliputi hidung meler atau tersumbat, bersin-bersin, sakit tenggorokan, batuk ringan, sakit kepala, rasa tidak enak badan, dan terkadang demam ringan. Gejala biasanya muncul 1–3 hari setelah terpapar virus dan berlangsung 7–10 hari. Berbeda dengan influenza yang gejalanya lebih berat dan datang tiba-tiba."
"122","Batuk Pilek (Common Cold)","Gejala","Bagaimana tanda-tanda seseorang terkena flu biasa?","Gejala batuk pilek (common cold) meliputi hidung meler atau tersumbat, bersin-bersin, sakit tenggorokan, batuk ringan, sakit kepala, rasa tidak enak badan, dan terkadang demam ringan. Gejala biasanya muncul 1–3 hari setelah terpapar virus dan berlangsung 7–10 hari. Berbeda dengan influenza yang gejalanya lebih berat dan datang tiba-tiba."
"123","Batuk Pilek (Common Cold)","Gejala","Ciri-ciri batuk pilek itu seperti apa ya?","Gejala batuk pilek (common cold) meliputi hidung meler atau tersumbat, bersin-bersin, sakit tenggorokan, batuk ringan, sakit kepala, rasa tidak enak badan, dan terkadang demam ringan. Gejala biasanya muncul 1–3 hari setelah terpapar virus dan berlangsung 7–10 hari. Berbeda dengan influenza yang gejalanya lebih berat dan datang tiba-tiba."
"124","Batuk Pilek (Common Cold)","Gejala","Apa yang dirasakan saat terserang pilek?","Gejala batuk pilek (common cold) meliputi hidung meler atau tersumbat, bersin-bersin, sakit tenggorokan, batuk ringan, sakit kepala, rasa tidak enak badan, dan terkadang demam ringan. Gejala biasanya muncul 1–3 hari setelah terpapar virus dan berlangsung 7–10 hari. Berbeda dengan influenza yang gejalanya lebih berat dan datang tiba-tiba."
"125","Batuk Pilek (Common Cold)","Pencegahan","Bagaimana cara mencegah batuk pilek?","Pencegahan batuk pilek meliputi mencuci tangan dengan sabun secara teratur (terutama sebelum makan dan setelah dari tempat umum), menghindari menyentuh wajah dengan tangan kotor, menghindari kontak dekat dengan orang yang sedang sakit, meningkatkan daya tahan tubuh dengan istirahat cukup dan makan bergizi, serta menggunakan masker di tempat ramai saat musim flu."
"126","Batuk Pilek (Common Cold)","Pencegahan","Apa yang bisa dilakukan agar tidak mudah kena pilek?","Pencegahan batuk pilek meliputi mencuci tangan dengan sabun secara teratur (terutama sebelum makan dan setelah dari tempat umum), menghindari menyentuh wajah dengan tangan kotor, menghindari kontak dekat dengan orang yang sedang sakit, meningkatkan daya tahan tubuh dengan istirahat cukup dan makan bergizi, serta menggunakan masker di tempat ramai saat musim flu."
"127","Batuk Pilek (Common Cold)","Pencegahan","Tips menghindari penularan common cold itu gimana?","Pencegahan batuk pilek meliputi mencuci tangan dengan sabun secara teratur (terutama sebelum makan dan setelah dari tempat umum), menghindari menyentuh wajah dengan tangan kotor, menghindari kontak dekat dengan orang yang sedang sakit, meningkatkan daya tahan tubuh dengan istirahat cukup dan makan bergizi, serta menggunakan masker di tempat ramai saat musim flu."
"128","Batuk Pilek (Common Cold)","Pencegahan","Cara agar tidak tertular virus flu dari orang lain?","Pencegahan batuk pilek meliputi mencuci tangan dengan sabun secara teratur (terutama sebelum makan dan setelah dari tempat umum), menghindari menyentuh wajah dengan tangan kotor, menghindari kontak dekat dengan orang yang sedang sakit, meningkatkan daya tahan tubuh dengan istirahat cukup dan makan bergizi, serta menggunakan masker di tempat ramai saat musim flu."
"129","Batuk Pilek (Common Cold)","Pengobatan","Bagaimana cara mengobati batuk pilek?","Batuk pilek disebabkan virus sehingga tidak memerlukan antibiotik. Pengobatan bersifat simtomatik: istirahat yang cukup, minum air putih yang banyak, madu dan jahe untuk meredakan tenggorokan, dekongestan untuk hidung tersumbat, antihistamin untuk hidung meler, dan paracetamol untuk demam dan nyeri. Konsumsi vitamin C dan zinc dapat membantu mempercepat pemulihan."
"130","Batuk Pilek (Common Cold)","Pengobatan","Obat apa yang bisa diminum untuk mengatasi pilek?","Batuk pilek disebabkan virus sehingga tidak memerlukan antibiotik. Pengobatan bersifat simtomatik: istirahat yang cukup, minum air putih yang banyak, madu dan jahe untuk meredakan tenggorokan, dekongestan untuk hidung tersumbat, antihistamin untuk hidung meler, dan paracetamol untuk demam dan nyeri. Konsumsi vitamin C dan zinc dapat membantu mempercepat pemulihan."
"131","Batuk Pilek (Common Cold)","Pengobatan","Cara cepat sembuh dari batuk pilek itu gimana?","Batuk pilek disebabkan virus sehingga tidak memerlukan antibiotik. Pengobatan bersifat simtomatik: istirahat yang cukup, minum air putih yang banyak, madu dan jahe untuk meredakan tenggorokan, dekongestan untuk hidung tersumbat, antihistamin untuk hidung meler, dan paracetamol untuk demam dan nyeri. Konsumsi vitamin C dan zinc dapat membantu mempercepat pemulihan."
"132","Batuk Pilek (Common Cold)","Pengobatan","Apakah antibiotik diperlukan untuk mengobati pilek?","Batuk pilek disebabkan virus sehingga tidak memerlukan antibiotik. Pengobatan bersifat simtomatik: istirahat yang cukup, minum air putih yang banyak, madu dan jahe untuk meredakan tenggorokan, dekongestan untuk hidung tersumbat, antihistamin untuk hidung meler, dan paracetamol untuk demam dan nyeri. Konsumsi vitamin C dan zinc dapat membantu mempercepat pemulihan."
"133","Migren (Sakit Kepala Sebelah)","Gejala","Apa saja gejala dari penyakit migren atau sakit kepala sebelah?","Migren ditandai dengan nyeri kepala berdenyut yang biasanya hanya pada satu sisi kepala, berlangsung 4–72 jam, disertai mual dan muntah, sangat sensitif terhadap cahaya (fotofobia) dan suara (fonofobia). Sebagian penderita mengalami 'aura' sebelum nyeri, berupa kilatan cahaya, gangguan penglihatan, atau kesemutan di wajah dan tangan."
"134","Migren (Sakit Kepala Sebelah)","Gejala","Bagaimana tanda-tanda seseorang terkena migren?","Migren ditandai dengan nyeri kepala berdenyut yang biasanya hanya pada satu sisi kepala, berlangsung 4–72 jam, disertai mual dan muntah, sangat sensitif terhadap cahaya (fotofobia) dan suara (fonofobia). Sebagian penderita mengalami 'aura' sebelum nyeri, berupa kilatan cahaya, gangguan penglihatan, atau kesemutan di wajah dan tangan."
"135","Migren (Sakit Kepala Sebelah)","Gejala","Ciri-ciri migren itu seperti apa ya?","Migren ditandai dengan nyeri kepala berdenyut yang biasanya hanya pada satu sisi kepala, berlangsung 4–72 jam, disertai mual dan muntah, sangat sensitif terhadap cahaya (fotofobia) dan suara (fonofobia). Sebagian penderita mengalami 'aura' sebelum nyeri, berupa kilatan cahaya, gangguan penglihatan, atau kesemutan di wajah dan tangan."
"136","Migren (Sakit Kepala Sebelah)","Gejala","Apa yang membedakan migren dengan sakit kepala biasa?","Migren ditandai dengan nyeri kepala berdenyut yang biasanya hanya pada satu sisi kepala, berlangsung 4–72 jam, disertai mual dan muntah, sangat sensitif terhadap cahaya (fotofobia) dan suara (fonofobia). Sebagian penderita mengalami 'aura' sebelum nyeri, berupa kilatan cahaya, gangguan penglihatan, atau kesemutan di wajah dan tangan."
"137","Migren (Sakit Kepala Sebelah)","Pencegahan","Bagaimana cara mencegah migren agar tidak sering kambuh?","Pencegahan migren meliputi identifikasi dan penghindaran pemicu (stres, kurang tidur, kafein berlebih, hormon, makanan tertentu seperti keju dan coklat), menjaga pola tidur dan makan yang teratur, mengelola stres dengan relaksasi atau meditasi, cukup minum air putih, dan pada kasus sering dapat diberikan obat pencegah (profilaksis) seperti topiramat atau propranolol oleh dokter."
"138","Migren (Sakit Kepala Sebelah)","Pencegahan","Apa yang harus dihindari agar migren tidak kumat?","Pencegahan migren meliputi identifikasi dan penghindaran pemicu (stres, kurang tidur, kafein berlebih, hormon, makanan tertentu seperti keju dan coklat), menjaga pola tidur dan makan yang teratur, mengelola stres dengan relaksasi atau meditasi, cukup minum air putih, dan pada kasus sering dapat diberikan obat pencegah (profilaksis) seperti topiramat atau propranolol oleh dokter."
"139","Migren (Sakit Kepala Sebelah)","Pencegahan","Tips hidup sehat untuk mencegah serangan migren?","Pencegahan migren meliputi identifikasi dan penghindaran pemicu (stres, kurang tidur, kafein berlebih, hormon, makanan tertentu seperti keju dan coklat), menjaga pola tidur dan makan yang teratur, mengelola stres dengan relaksasi atau meditasi, cukup minum air putih, dan pada kasus sering dapat diberikan obat pencegah (profilaksis) seperti topiramat atau propranolol oleh dokter."
